Flight Number|Origin|Destination|Departure|Arrival|Distance
UA5287|GRR|ORD|1025|1035|136.78
AA3859|GRR|ORD|1101|1115|136.78
UA4104|GRR|ORD|1155|1204|136.78
AA3953|GRR|ORD|1230|1239|136.78
AA3657|GRR|ORD|1409|1414|136.78
UA4061|GRR|ORD|1439|1445|136.78
AA3453|GRR|ORD|1720|1731|136.78
UA320|GRR|ORD|1813|1816|136.78
AA3581|GRR|ORD|1911|1924|136.78
UA5810|GRR|ORD|2015|2024|136.78
AA3640|GRR|ORD|2112|2115|136.78
UA3615|ICT|DEN|630|708|419.94
UA1101|ICT|DEN|955|1030|419.94
UA3535|ICT|DEN|1250|1320|419.94
UA5294|ICT|DEN|1609|1655|419.94
UA5867|ICT|DEN|1735|1820|419.94
AA3113|ICT|ORD|543|744|587.61
UA4784|ICT|ORD|601|800|587.61
AA3114|ICT|ORD|1023|1224|587.61
UA4835|ICT|ORD|1115|1319|587.61
UA3808|ICT|ORD|1241|1443|587.61
UA4656|ICT|ORD|1510|1710|587.61
AA3115|ICT|ORD|1523|1724|587.61
UA4539|ICT|ORD|1811|2004|587.61
F9408|LAX|DEN|55|417|861.34
UA495|LAX|DEN|515|831|861.34
WN1094|LAX|DEN|520|840|861.34
DL2631|LAX|DEN|825|1200|861.34
WN1177|LAX|DEN|825|1145|861.34
UA393|LAX|DEN|830|1146|861.34
AA6087|LAX|DEN|840|1207|861.34
UA489|LAX|DEN|943|1302|861.34
UA2049|LAX|DEN|1047|1407|861.34
UA314|LAX|DEN|1340|1650|861.34
WN1241|LAX|DEN|1340|1705|861.34
DL2503|LAX|DEN|1412|1742|861.34
WN355|LAX|DEN|1535|1850|861.34
AA416|LAX|DEN|1545|1906|861.34
UA1711|LAX|DEN|1600|1921|861.34
UA750|LAX|DEN|1758|2112|861.34
WN2150|LAX|DEN|1855|2210|861.34
AA6092|LAX|DEN|1858|2213|861.34
DL2376|LAX|DEN|1935|2259|861.34
WN1249|LAX|DEN|2015|2330|861.34
UA2291|LAX|ORD|57|700|1744.36
AA362|LAX|ORD|59|704|1744.36
AA2452|LAX|ORD|610|1219|1744.36
UA506|LAX|ORD|640|1241|1744.36
NK730|LAX|ORD|836|1448|1744.36
UA2039|LAX|ORD|840|1441|1744.36
AA256|LAX|ORD|920|1524|1744.36
UA366|LAX|ORD|1020|1617|1744.36
AA1384|LAX|ORD|1115|1726|1744.36
AS104|LAX|ORD|1145|1800|1744.36
UA269|LAX|ORD|1152|1755|1744.36
AA245|LAX|ORD|1300|1910|1744.36
NK736|LAX|ORD|1330|1936|1744.36
UA864|LAX|ORD|1352|1955|1744.36
AA1030|LAX|ORD|1450|2054|1744.36
UA528|LAX|ORD|1455|2053|1744.36
UA661|LAX|ORD|1600|2149|1744.36
AA2431|LAX|ORD|1700|2301|1744.36
AA2776|LAX|ORD|1815|16|1744.36
UA660|LAX|ORD|2320|513|1744.36
AA296|LAX|ORD|2355|603|1744.36
UA2365|LAX|ORD|2359|548|1744.36
AA3034|LAX|RDM|920|1134|726.43
UA5508|LAX|RDM|1600|1822|726.43
UA675|ORD|DEN|745|923|888.54
UA2005|ORD|DEN|855|1033|888.54
UA1942|ORD|DEN|1000|1138|888.54
NK478|ORD|DEN|1107|1255|888.54
UA806|ORD|DEN|1125|1306|888.54
UA775|ORD|DEN|1245|1431|888.54
AA2470|ORD|DEN|1350|1531|888.54
UA2220|ORD|DEN|1415|1556|888.54
UA459|ORD|DEN|1506|1639|888.54
AA2462|ORD|DEN|1515|1652|888.54
UA407|ORD|DEN|1600|1737|888.54
F91285|ORD|DEN|1715|1910|888.54
UA765|ORD|DEN|1750|1927|888.54
UA269|ORD|DEN|1935|2112|888.54
AA1387|ORD|DEN|2017|2156|888.54
UA5727|ORD|GRR|630|835|136.78
UA5357|ORD|GRR|750|955|136.78
AA3859|ORD|GRR|825|1027|136.78
UA4261|ORD|GRR|921|1125|136.78
AA3953|ORD|GRR|1005|1205|136.78
AA3657|ORD|GRR|1150|1343|136.78
UA4812|ORD|GRR|1201|1404|136.78
UA4572|ORD|GRR|1446|1641|136.78
AA3453|ORD|GRR|1500|1655|136.78
UA1446|ORD|GRR|1535|1727|136.78
AA3581|ORD|GRR|1640|1841|136.78
UA5350|ORD|GRR|1750|1945|136.78
AA3640|ORD|GRR|1829|2029|136.78
UA2170|ORD|GRR|2125|2317|136.78
AA3921|ORD|GRR|2200|2359|136.78
AA3114|ORD|ICT|725|931|587.61
UA3767|ORD|ICT|820|1031|587.61
UA3830|ORD|ICT|1000|1211|587.61
AA3115|ORD|ICT|1215|1426|587.61
UA4755|ORD|ICT|1229|1440|587.61
UA4585|ORD|ICT|1535|1735|587.61
UA3701|ORD|ICT|1945|2147|587.61
AA3124|ORD|ICT|2200|3|587.61
UA2194|ORD|LAX|635|905|1744.36
AA1384|ORD|LAX|730|1015|1744.36
UA1029|ORD|LAX|813|1043|1744.36
AA1163|ORD|LAX|905|1151|1744.36
NK737|ORD|LAX|945|1234|1744.36
UA531|ORD|LAX|1000|1233|1744.36
AA1029|ORD|LAX|1015|1253|1744.36
UA310|ORD|LAX|1135|1408|1744.36
AA2744|ORD|LAX|1200|1431|1744.36
UA566|ORD|LAX|1302|1535|1744.36
AA2611|ORD|LAX|1325|1557|1744.36
UA1836|ORD|LAX|1400|1629|1744.36
AA1375|ORD|LAX|1500|1732|1744.36
NK731|ORD|LAX|1508|1756|1744.36
UA592|ORD|LAX|1542|1811|1744.36
AA2364|ORD|LAX|1635|1907|1744.36
UA411|ORD|LAX|1759|2023|1744.36
AA2715|ORD|LAX|1825|2108|1744.36
AS105|ORD|LAX|1905|2154|1744.36
UA1052|ORD|LAX|1939|2218|1744.36
AA1039|ORD|LAX|2018|2259|1744.36
UA1186|ORD|LAX|2030|2304|1744.36
UA5322|RDM|DEN|530|855|898.66
UA5781|RDM|DEN|1340|1659|898.66
AA2971|RDM|LAX|550|823|726.43
UA5644|RDM|LAX|1852|2108|726.43
